bookId,userId,rating,comment
44736449-37f9-4ee8-b427-b3fb68742616,1c393c7e-25e8-46a5-8737-5d4044f174e5,5,"sách hay cực kỳ, giao hàng sớm sơn dự kiến , giấy rất trơn mịn, rất thích hi hi hi, đây không phải là cuốn sách khô khan đâu, sách về lịch sử mật mã đan xen những bộ mã nổi tiếng, hay tuyệt, tác giả của...Xem thêm"
44736449-37f9-4ee8-b427-b3fb68742616,35c7f550-e428-4ef9-9469-3d828da4ff59,5,"Sách in đẹp,hay cuộc sống ai cũng có chút mật mã,dù ở khía cạnh nào của xã hội, xin cảm ơn ban biên dịch và nhà cung cấp"
44736449-37f9-4ee8-b427-b3fb68742616,8031b986-694a-4112-a3d5-fd95259dfc8c,4,"Quyển sách không chỉ về mật mã, gắn với nó là một phần lịch sử thế giới. Nội dung rất ổn"
44736449-37f9-4ee8-b427-b3fb68742616,677a2065-22eb-48cd-ad37-5a1a058d0536,5,
44736449-37f9-4ee8-b427-b3fb68742616,9c728b7b-56f6-4c72-af1f-17df5d47b8ab,5,
44736449-37f9-4ee8-b427-b3fb68742616,197dd9c2-188d-4709-9deb-1dda50e82f2a,5,
44736449-37f9-4ee8-b427-b3fb68742616,23d87655-d293-4cbf-b241-46c27422fa74,5,Sách hay
44736449-37f9-4ee8-b427-b3fb68742616,d5d10b5c-03b9-4276-b2f4-555ca291abfb,5,Một quyển sách và chất lượng in ấn rất tốt.
44736449-37f9-4ee8-b427-b3fb68742616,74567fae-07a3-4a28-af86-55dedd5fa4ae,5,"Sách hay, nên đọc"
44736449-37f9-4ee8-b427-b3fb68742616,39bcd801-8c16-43d0-8754-e8df7aa87340,5,"giao nhanh, sách hay nên đọc."
44736449-37f9-4ee8-b427-b3fb68742616,ec5d5629-f862-4afe-bd62-2a7983de8d7f,5,
44736449-37f9-4ee8-b427-b3fb68742616,4169482b-c3b9-4e74-ab92-c7b78e65ef5f,5,"Sách hay, chất lượng in ấn đẹp, chất lượng tốt"
44736449-37f9-4ee8-b427-b3fb68742616,c40b92bc-8973-445f-a887-71d816a7d579,5,"Sách hay nha mọi người, mua về để hiểu thêm về nghề code"
44736449-37f9-4ee8-b427-b3fb68742616,fbe5c0b2-abd4-4b0d-b6c3-84ab297b8cb8,5,
44736449-37f9-4ee8-b427-b3fb68742616,d303ca6e-820b-4c97-95e7-74ed03e37cb4,5,Sp ko có gì để phàn nàn 👍👍
44736449-37f9-4ee8-b427-b3fb68742616,03ad9745-9f59-45e6-b95c-ad0cf86b49d9,5,
44736449-37f9-4ee8-b427-b3fb68742616,dafdd180-9d0d-40c2-b695-664f7c824dc6,5,"Sách đc bọc kỹ càng, chất lượng ổn"
44736449-37f9-4ee8-b427-b3fb68742616,59104000-dcd6-48f2-83a5-475918007b24,5,Sách rất hay
44736449-37f9-4ee8-b427-b3fb68742616,7dfdbcdf-e900-45d8-bb94-9234c995c9bc,5,
44736449-37f9-4ee8-b427-b3fb68742616,41f748bb-e748-4f6c-a8f7-f80785ad1aeb,5,đóng gói cẩn thận. giao hàng nhanh
44736449-37f9-4ee8-b427-b3fb68742616,d2ef21cf-1e68-4854-994a-b4b887b43d30,5,
44736449-37f9-4ee8-b427-b3fb68742616,d7f036ff-d0e1-4311-a475-363b419ef997,5,
44736449-37f9-4ee8-b427-b3fb68742616,d8cd21c0-f9f3-4f5f-8da7-9c4a71313976,5,
44736449-37f9-4ee8-b427-b3fb68742616,7c486651-827b-4bf9-bd0e-66012be21233,5,Chất lượng sách tốt.
44736449-37f9-4ee8-b427-b3fb68742616,01a9e18a-9df1-4869-a8c4-f361c7e8ef99,5,
44736449-37f9-4ee8-b427-b3fb68742616,36ab0d55-6e49-42b2-8a8c-b36cd5a5110f,5,Ổn
44736449-37f9-4ee8-b427-b3fb68742616,0b589cbf-8b13-4c1a-8b89-f72f088170ce,5,
44736449-37f9-4ee8-b427-b3fb68742616,cffba043-0f57-4b45-8f8c-026c6502a6e5,5,
44736449-37f9-4ee8-b427-b3fb68742616,8a7bc77b-4e6d-474c-b6b5-411518742951,5,
44736449-37f9-4ee8-b427-b3fb68742616,85edf954-a59f-42f3-9c38-0d4c38a5e387,5,
44736449-37f9-4ee8-b427-b3fb68742616,379b351e-8a9c-4858-8bff-ab5f27e8a70c,5,
44736449-37f9-4ee8-b427-b3fb68742616,a6330782-a523-4b71-ac9a-6a91c7b1f3a4,5,
44736449-37f9-4ee8-b427-b3fb68742616,d7e2874a-af21-49d2-87d4-d837a89a3470,5,
44736449-37f9-4ee8-b427-b3fb68742616,4cfac5d3-ad7b-4051-b5d2-aae18c7acf54,5,
44736449-37f9-4ee8-b427-b3fb68742616,d6f58629-2b3f-4dc6-9cb5-447183e7f7b8,5,
44736449-37f9-4ee8-b427-b3fb68742616,cb209071-8a64-4fbc-ae57-d02a8998f6dd,5,Đóng gói và vận chuyển tốt
44736449-37f9-4ee8-b427-b3fb68742616,e971d6c7-3fc5-4699-bba4-79de42800ccc,5,
44736449-37f9-4ee8-b427-b3fb68742616,d8f5072c-c2db-403f-979f-cbbe94650036,5,
44736449-37f9-4ee8-b427-b3fb68742616,08a69a35-2f9c-4f74-b498-4078e5cccdec,5,
44736449-37f9-4ee8-b427-b3fb68742616,3e689be0-d797-4aa4-a200-6114bfaadaa8,5,
44736449-37f9-4ee8-b427-b3fb68742616,97ff3e47-0c8f-42a6-b172-c316a9c18c06,5,
44736449-37f9-4ee8-b427-b3fb68742616,fe2da475-f3a2-43b4-a2a9-5ae78c9067ad,5,"Tiki: 5*
Sách: 5*
Bạn giao hàng: 5*"
44736449-37f9-4ee8-b427-b3fb68742616,226c6dc8-6f4b-4a24-807b-47ee0e19ce36,5,Rất hài lòng.
44736449-37f9-4ee8-b427-b3fb68742616,9b66c096-b6f4-4c83-9ae7-04001064d31c,5,Sach dep
44736449-37f9-4ee8-b427-b3fb68742616,0b1cfebe-4b67-457b-8ef1-4874c67b0049,5,
