categoryId,name,slug
6608cf6b-713d-4be4-afbe-2bd1fc1ab21e,"Khoa học kỹ thuật",khoa-hoc-ky-thuat
f387bf02-972e-416f-8c2c-f63fd4cbe264,"Lịch sử địa lý",lich-su-dia-ly
e81f3463-49ef-447b-bcb3-43f8c2bad8b8,"Nuôi dạy con",nuoi-day-con
0c47baa5-50ef-48f9-8885-33183bf29811,"Kiến thức tổng hợp",sach-kien-thuc-tong-hop
32783255-aacc-4a16-8588-30c342b1aad0,"Kinh tế",sach-kinh-te
638b6115-a8b4-496f-9803-b528bb1a02a1,"Kỹ năng sống",sach-ky-nang-song
1cc4da49-a510-41b3-967a-950b427df2c8,"Văn học",sach-van-hoc
77c2f688-74e6-4ec6-8a4d-736201732898,"Tôn giáo tâm tinh",ton-giao-tam-linh
